,,,Start location LRP,Start location Offset,Start location Chainage,End location LRP,End location Offset,End location Chainage,Length (Km),Traffic Data Heavy Truck,Traffic Data Medium Truck,Traffic Data Small Truck,Traffic Data Large Bus,Traffic Data Medium Bus,Traffic Data Micro Bus,Traffic Data Utility,Traffic Data Car,Traffic Data Auto Rickshaw,Traffic Data Motor Cycle,Traffic Data Bi-Cycle,Traffic Data Cycle Rickshaw,Traffic Data Cart,Total Motorized,Total Non Motorized,Total Total AADT,Traffic (AADT)
681,N513-1,Baderhat-Khayerchar,LRPS,0,0,LRPE,0,11.88,11.880,16.0,78.0,330.0,95.0,83.0,344.0,309.0,437.0,6336.0,2396.0,2465.0,4550.0,0.0,10424.0,7015.0,17439.0,17439.0
685,N514-1L,Banani (Bogra)-Bogra Sath Matha More(int.with N510) (Left),LRPS,0,0,LRPS,3770,3.77,3.770,16.0,78.0,330.0,95.0,83.0,344.0,309.0,437.0,6336.0,2396.0,2465.0,4550.0,0.0,10424.0,7015.0,17439.0,17439.0
686,N514-1R,Banani (Bogra)-Bogra Sath Matha More(int.with N510) (Right),LRPS,0,0,LRPS,3770,3.77,3.770,16.0,78.0,330.0,95.0,83.0,344.0,309.0,437.0,6336.0,2396.0,2465.0,4550.0,0.0,10424.0,7015.0,17439.0,17439.0
687,N514-2L,Bogra Sath Matha More(int.with N510)-Int with N5 (Left),LRPS,3770,3.77,LRPE,0,8.67,4.900,16.0,78.0,330.0,95.0,83.0,344.0,309.0,437.0,6336.0,2396.0,2465.0,4550.0,0.0,10424.0,7015.0,17439.0,17439.0
688,N514-2R,Bogra Sath Matha More(int.with N510)-Int with N5 (Right),LRPS,3770,3.77,LRPE,0,8.67,4.900,4.0,44.0,256.0,62.0,60.0,344.0,84.0,351.0,5618.0,2285.0,2361.0,4730.0,0.0,9108.0,7091.0,16199.0,16199.0
692,N515-1,Shahjahanpur(Int.with N5)-Subgram Bus Stop (Int.with Z5032),LRPS,0,0,LRP008,815,8.705,8.705,108.0,199.0,262.0,175.0,147.0,172.0,33.0,179.0,1297.0,750.0,537.0,581.0,0.0,3322.0,1118.0,4440.0,4440.0
693,N515-2,Subgram Bus Stop (Int.with Z5032)-Mitaldi (Int.with N5),LRP008,815,8.705,LRPE,0,16,7.295,108.0,199.0,262.0,175.0,147.0,172.0,33.0,179.0,1297.0,750.0,537.0,581.0,0.0,3322.0,1118.0,4440.0,4440.0
697,N516-1,SP Office-Int.with R547,LRPS,0,0,LRP001,200,1.3,1.300,62.0,1027.0,672.0,135.0,176.0,235.0,29.0,161.0,933.0,946.0,570.0,734.0,0.0,4376.0,1304.0,5680.0,5680.0
698,N516-2,Int.with R547 - Santahar Bypass,LRP001,200,1.3,LRP008,160,8,6.700,7.0,1235.0,460.0,64.0,57.0,294.0,47.0,81.0,682.0,975.0,658.0,716.0,0.0,3902.0,1374.0,5276.0,5276.0
702,N517-1,Rangpur (Modern More)-Int with N506,LRPS,0,0,LRPS,805,0.805,0.805,0.0,877.0,673.0,910.0,525.0,623.0,233.0,484.0,2139.0,1483.0,1296.0,1058.0,0.0,7947.0,2354.0,10301.0,10301.0
703,N517-2,Rangpur(Int.with N506)-Rangpur (Shapla Chattar),LRPS,805,0.805,LRPS,3880,3.88,3.075,0.0,877.0,673.0,910.0,525.0,623.0,233.0,484.0,2139.0,1483.0,1296.0,1058.0,0.0,7947.0,2354.0,10301.0,10301.0
704,N517-3L,Rangpur (Shapla Chattar)-Int.with Z5010 (Left),LRPS,3880,3.88,LRPS,5075,5.075,1.195,0.0,877.0,673.0,910.0,525.0,623.0,233.0,484.0,2139.0,1483.0,1296.0,1058.0,0.0,7947.0,2354.0,10301.0,10301.0
705,N517-3R,Rangpur (Shapla Chattar)-Int.with Z5010 (Right),LRPS,3880,3.88,LRPS,5075,5.075,1.195,22.0,635.0,344.0,508.0,260.0,265.0,116.0,210.0,1169.0,817.0,668.0,543.0,0.0,4346.0,1211.0,5557.0,5557.0
706,N517-4L,Int.with Z5010-Rangpur (Medical More) (Left),LRPS,5075,5.075,LRPS,8210,8.21,3.135,22.0,635.0,344.0,508.0,260.0,265.0,116.0,210.0,1169.0,817.0,668.0,543.0,0.0,4346.0,1211.0,5557.0,5557.0
707,N517-4R,Int.with Z5010-Rangpur (Medical More) (Right),LRPS,5075,5.075,LRPS,8210,8.21,3.135,22.0,635.0,344.0,508.0,260.0,265.0,116.0,210.0,1169.0,817.0,668.0,543.0,0.0,4346.0,1211.0,5557.0,5557.0
711,N518-1,Sutkir More-Sonapukur,LRPS,0,0,LRP004,510,4.16,4.160,4.0,313.0,451.0,6.0,12.0,315.0,153.0,274.0,1576.0,1676.0,2500.0,3344.0,0.0,4780.0,5844.0,10624.0,10624.0
715,N519-1,Medical College-Malgram,LRPS,0,0,LRPS,2640,2.64,2.640,4.0,313.0,451.0,6.0,12.0,315.0,153.0,274.0,1576.0,1676.0,2500.0,3344.0,0.0,4780.0,5844.0,10624.0,10624.0
719,N520-1,"Kawok more, Ullapara-Srikola More(Int.with N5)",LRPS,0,0,LRPS,2601,2.601,2.601,4.0,313.0,451.0,6.0,12.0,315.0,153.0,274.0,1576.0,1676.0,2500.0,3344.0,0.0,4780.0,5844.0,10624.0,10624.0
723,N540-1L,Nabinagar(Int.withN5)-Baipail (int.with N302) (Left),LRPS,0,0,LRPS,2979,2.979,2.979,102.0,1742.0,858.0,1662.0,683.0,853.0,123.0,895.0,1886.0,599.0,372.0,686.0,0.0,9403.0,1058.0,10461.0,10461.0
724,N540-1R,Nabinagar(Int.withN5)-Baipail (int.with N302) (Right),LRPS,0,0,LRPS,2979,2.979,2.979,101.0,1877.0,870.0,1488.0,623.0,743.0,135.0,968.0,1724.0,560.0,393.0,725.0,0.0,9089.0,1118.0,10207.0,10207.0
725,N540-2L,Baipail (int.with N302)-Chandra (int.with N4) (Left),LRPS,2979,2.979,LRPS,16010,16.01,13.031,27.0,1479.0,480.0,1033.0,444.0,389.0,79.0,678.0,528.0,369.0,81.0,764.0,0.0,5506.0,845.0,6351.0,6351.0
726,N540-2R,Baipail (int.with N302)-Chandra (int.with N4) (Right),LRPS,2979,2.979,LRPS,16010,16.01,13.031,21.0,1555.0,543.0,1088.0,443.0,465.0,81.0,646.0,457.0,417.0,67.0,667.0,0.0,5716.0,734.0,6450.0,6450.0
730,N602-1,New Bus Stand(Int.with N6)-Madrasa More (int.with N502),LRPS,0,0,LRPS,1250,1.25,1.250,0.0,346.0,381.0,63.0,97.0,90.0,77.0,171.0,11329.0,3743.0,1992.0,1373.0,0.0,16297.0,3365.0,19662.0,19662.0
731,N602-2,Madrasa More (int.with N502) -int.with R548,LRPS,1250,1.25,LRPS,5000,5,3.750,0.0,346.0,381.0,63.0,97.0,90.0,77.0,171.0,11329.0,3743.0,1992.0,1373.0,0.0,16297.0,3365.0,19662.0,19662.0
732,N602-3,int.with R548-Bon Belghoria (Shimultala),LRPS,5000,5,LRPE,0,5.64,0.640,0.0,346.0,381.0,63.0,97.0,90.0,77.0,171.0,11329.0,3743.0,1992.0,1373.0,0.0,16297.0,3365.0,19662.0,19662.0
736,N603-1,Belpukur (Rajshahi)-Khorkhori Bypass(Int.with Z6010),LRPS,0,0,LRP009,300,9.3,9.300,267.0,1854.0,1123.0,390.0,308.0,199.0,142.0,224.0,1324.0,1307.0,835.0,670.0,0.0,7138.0,1505.0,8643.0,8643.0
737,N603-2,Khorkhori Bypass(Int.with Z6010)-Int.with R685,LRP009,300,9.3,LRP012,1700,13.7,4.400,267.0,1854.0,1123.0,390.0,308.0,199.0,142.0,224.0,1324.0,1307.0,835.0,670.0,0.0,7138.0,1505.0,8643.0,8643.0
738,N603-3,Int.with R685-Kasiadanga,LRP012,1700,13.7,LRPE,0,21.03,7.330,267.0,1854.0,1123.0,390.0,308.0,199.0,142.0,224.0,1324.0,1307.0,835.0,670.0,0.0,7138.0,1505.0,8643.0,8643.0
742,N604-1,Pabna (Central Bus Stand)-Pabna (Anonta More) int.with R601,LRPS,0,0,LRPS,1990,1.99,1.990,21.0,395.0,341.0,198.0,96.0,145.0,84.0,139.0,4187.0,2698.0,2110.0,2172.0,2.0,8304.0,4284.0,12588.0,12588.0
743,N604-2,Pabna (Anonta More)int.with R601 -Police Line More(Int.with R603 ),LRPS,1990,1.99,LRPS,3386,3.386,1.396,21.0,395.0,341.0,198.0,96.0,145.0,84.0,139.0,4187.0,2698.0,2110.0,2172.0,2.0,8304.0,4284.0,12588.0,12588.0
744,N604-3,Police Line More(Int.with R603 )-Pabna (Ghospara),LRPS,3386,3.386,LRPE,0,7.83,4.444,21.0,395.0,341.0,198.0,96.0,145.0,84.0,139.0,4187.0,2698.0,2110.0,2172.0,2.0,8304.0,4284.0,12588.0,12588.0
748,N605-1,"CEB more from N6-Int. With R680,",LRPS,0,0,LRPS,2960,2.96,2.960,267.0,1854.0,1123.0,390.0,308.0,199.0,142.0,224.0,1324.0,1307.0,835.0,670.0,0.0,7138.0,1505.0,8643.0,8643.0
752,N701-1,Int.with N7-Int.with N7,LRPS,0,0,LRPE,0,1,1.000,73.0,381.0,288.0,558.0,153.0,139.0,33.0,159.0,1096.0,1358.0,1629.0,864.0,0.0,4238.0,2493.0,6731.0,6731.0
756,N702-1,Jessore (Daratana More)-Khajura(Int.with Z7057),LRPS,0,0,LRP015,374,14.364,14.364,73.0,381.0,288.0,558.0,153.0,139.0,33.0,159.0,1096.0,1358.0,1629.0,864.0,0.0,4238.0,2493.0,6731.0,6731.0
757,N702-2,Khajura(Int.with Z7057)-Arpara (Int.with Z7021),LRP015,374,14.364,LRP030,1645,30.62,16.256,73.0,381.0,288.0,558.0,153.0,139.0,33.0,159.0,1096.0,1358.0,1629.0,864.0,0.0,4238.0,2493.0,6731.0,6731.0
758,N702-3,Arpara(Int.with Z7021)-Magura (Vaina More),LRP030,1645,30.62,LRPE,0,43.75,13.130,73.0,381.0,288.0,558.0,153.0,139.0,33.0,159.0,1096.0,1358.0,1629.0,864.0,0.0,4238.0,2493.0,6731.0,6731.0
762,N703-1,Bus Terminal-Int more N704,LRPS,0,0,LRP001,986,1.986,1.986,10.0,327.0,245.0,180.0,205.0,174.0,35.0,165.0,1625.0,1193.0,1064.0,837.0,0.0,4159.0,1901.0,6060.0,6060.0
763,N703-2,Int more N704-Int more R745,LRP001,986,1.986,LRP001,1070,2.07,0.084,10.0,327.0,245.0,180.0,205.0,174.0,35.0,165.0,1625.0,1193.0,1064.0,837.0,0.0,4159.0,1901.0,6060.0,6060.0
764,N703-3,Int with R745-Hamdah (Int with N712),LRP001,1070,2.07,LRPE,0,3.49,1.420,10.0,327.0,245.0,180.0,205.0,174.0,35.0,165.0,1625.0,1193.0,1064.0,837.0,0.0,4159.0,1901.0,6060.0,6060.0
768,N704-1,Jhenaidah(Bata More)-Arappur (Int.with N7),LRPS,0,0,LRPS,922,0.922,0.922,109.0,2186.0,1750.0,476.0,711.0,319.0,72.0,191.0,1524.0,1411.0,1065.0,897.0,0.0,8749.0,1962.0,10711.0,10711.0
769,N704-2,Arappur (Int.with N7)-Amtali (Int.with Z7404),LRPS,922,0.922,LRP004,542,4.462,3.540,109.0,2186.0,1750.0,476.0,711.0,319.0,72.0,191.0,1524.0,1411.0,1065.0,897.0,0.0,8749.0,1962.0,10711.0,10711.0
770,N704-3,Amtali (Int.with Z7404)-Shekhpara (Int.with Z7405),LRP004,542,4.462,LRP021,292,21.187,16.725,109.0,2186.0,1750.0,476.0,711.0,319.0,72.0,191.0,1524.0,1411.0,1065.0,897.0,0.0,8749.0,1962.0,10711.0,10711.0
771,N704-4,"Shekhpara(Int.with Z7405)-Bottoli More (Kushtia,Int.with R747)",LRP021,292,21.187,LRP041,344,41.222,20.035,109.0,2186.0,1750.0,476.0,711.0,319.0,72.0,191.0,1524.0,1411.0,1065.0,897.0,0.0,8749.0,1962.0,10711.0,10711.0
772,N704-5,"Bottoli More (Kushtia,Int.with R747)-Chowrhash More (Int.with R710)",LRP041,344,41.222,LRP043,572,43.43,2.208,109.0,2186.0,1750.0,476.0,711.0,319.0,72.0,191.0,1524.0,1411.0,1065.0,897.0,0.0,8749.0,1962.0,10711.0,10711.0
773,N704-6,"Chowrhash More (Int.with R710) -Trimohoni, Kushtia (Int.with R745)",LRP043,572,43.43,LRP050,280,50.038,6.608,109.0,2186.0,1750.0,476.0,711.0,319.0,72.0,191.0,1524.0,1411.0,1065.0,897.0,0.0,8749.0,1962.0,10711.0,10711.0
774,N704-7,"Trimohoni, Kushtia (Int.with R745)-Int.with Z7411 (Bheramara)",LRP050,280,50.038,LRP064,735,64.298,14.260,109.0,2186.0,1750.0,476.0,711.0,319.0,72.0,191.0,1524.0,1411.0,1065.0,897.0,0.0,8749.0,1962.0,10711.0,10711.0
775,N704-8,Int.with Z7411 (Bheramara)-Int.with Z7409 (Bheramara),LRP064,735,64.298,LRP067,52,66.675,2.377,109.0,2186.0,1750.0,476.0,711.0,319.0,72.0,191.0,1524.0,1411.0,1065.0,897.0,0.0,8749.0,1962.0,10711.0,10711.0
776,N704-9,Int.with Z7409 (Bheramara)-Ruppur(Int.with N705),LRP067,52,66.675,LRP074,772,74.274,7.599,109.0,2186.0,1750.0,476.0,711.0,319.0,72.0,191.0,1524.0,1411.0,1065.0,897.0,0.0,8749.0,1962.0,10711.0,10711.0
777,N704-10,Ruppur(Int.with N705)- Dasuria (Int.with N705),LRP074,772,74.274,LRP081,695,81.193,6.919,214.0,1977.0,589.0,332.0,39.0,390.0,34.0,183.0,2273.0,1512.0,864.0,173.0,0.0,7543.0,1037.0,8580.0,8580.0
778,N704-11,Ishwardi-Dasuria (Int.with N705) - Dasuria (Int.with N6),LRP081,695,81.193,LRPE,0,81.538,0.345,214.0,1977.0,589.0,332.0,39.0,390.0,34.0,183.0,2273.0,1512.0,864.0,173.0,0.0,7543.0,1037.0,8580.0,8580.0
782,N705-1,Ruppur-Iswardi (Int.with Z6006),LRPS,0,0,LRP005,1410,5.04,5.040,18.0,311.0,237.0,3.0,3.0,36.0,23.0,53.0,1356.0,1190.0,960.0,442.0,0.0,3230.0,1402.0,4632.0,4632.0
783,N705-2,Iswardi (Int.with Z6006)-Dashiria (Int.with N704),LRP005,1410,5.04,LRPE,0,9.453,4.413,18.0,311.0,237.0,3.0,3.0,36.0,23.0,53.0,1356.0,1190.0,960.0,442.0,0.0,3230.0,1402.0,4632.0,4632.0
787,N706-1,Jessore (Daratana More)-Chanchra More (Int with N7),LRPS,0,0,LRP002,820,2.83,2.830,186.0,959.0,687.0,401.0,439.0,283.0,125.0,282.0,2932.0,2713.0,2204.0,2188.0,0.0,9007.0,4392.0,13399.0,13399.0
788,N706-2,Chanchra More( Int with N7)-Navaron ( Int with R765),LRP002,820,2.83,LRP024,1880,26,23.170,157.0,1187.0,1063.0,439.0,523.0,338.0,148.0,236.0,736.0,411.0,317.0,152.0,0.0,5238.0,469.0,5707.0,5707.0
789,N706-3,Navaron ( Int With R765)- Benapole,LRP024,1880,26,LRP035,3058,38.2,12.200,157.0,1187.0,1063.0,439.0,523.0,338.0,148.0,236.0,736.0,411.0,317.0,152.0,0.0,5238.0,469.0,5707.0,5707.0
793,N707-1,Palbari-Daratana More(Int.with N702 and N706),LRPS,0,0,LRP002,998,2.228,2.228,114.0,1776.0,951.0,785.0,499.0,375.0,107.0,327.0,2084.0,2091.0,1884.0,1506.0,0.0,9109.0,3390.0,12499.0,12499.0
794,N707-2,Daratana More(Int.with N702 and N706)-Monihar(Int.with N806),LRP002,998,2.228,LRP002,2672,3.902,1.674,114.0,1776.0,951.0,785.0,499.0,375.0,107.0,327.0,2084.0,2091.0,1884.0,1506.0,0.0,9109.0,3390.0,12499.0,12499.0
795,N707-3,Monihar(Int.with N806)-Murail More(Int.with N7),LRP002,2672,3.902,LRPE,0,6.49,2.588,114.0,1776.0,951.0,785.0,499.0,375.0,107.0,327.0,2084.0,2091.0,1884.0,1506.0,0.0,9109.0,3390.0,12499.0,12499.0
799,N708-1,Palbari-Board Office (Int.with N702),LRPS,0,0,LRP003,163,2.513,2.513,41.0,222.0,187.0,165.0,156.0,264.0,60.0,336.0,753.0,1316.0,1043.0,1699.0,0.0,3500.0,2742.0,6242.0,6242.0
800,N708-2,Board Office (Int.with N702)-Monihar,LRP003,163,2.513,LRPE,0,4.75,2.237,41.0,222.0,187.0,165.0,156.0,264.0,60.0,336.0,753.0,1316.0,1043.0,1699.0,0.0,3500.0,2742.0,6242.0,6242.0
804,N709-1,Fultala- (Int.with R760),LRPS,0,0,LRP016,420,16.487,16.487,0.0,28.0,71.0,5.0,12.0,484.0,276.0,627.0,4122.0,1420.0,674.0,4568.0,65.0,7045.0,5307.0,12352.0,12352.0
805,N709-2L,(Int.with R760) - Muhammed Nagar Chowrasta(Int.with Z7606) (Left),LRP016,420,16.487,LRP018,55,18.122,1.635,0.0,28.0,71.0,5.0,12.0,484.0,276.0,627.0,4122.0,1420.0,674.0,4568.0,65.0,7045.0,5307.0,12352.0,12352.0
806,N709-2R,(Int.with R760) - Muhammed Nagar Chowrasta(Int.with Z7606)(Right),LRP016,420,16.487,LRP018,55,18.122,1.635,0.0,28.0,71.0,5.0,12.0,484.0,276.0,627.0,4122.0,1420.0,674.0,4568.0,65.0,7045.0,5307.0,12352.0,12352.0
807,N709-3L,Muhammed Nagar Chowraasta(Int.with Z7606)-Kudir Bottala(Int.with N7) (Left),LRP018,55,18.122,LRP025,500,26.567,8.445,0.0,28.0,71.0,5.0,12.0,484.0,276.0,627.0,4122.0,1420.0,674.0,4568.0,65.0,7045.0,5307.0,12352.0,12352.0
808,N709-3R,Muhammed Nagar Chowrasta(Int.with Z7606) - Kudir Bottala(Int.with N7) (Right),LRP018,55,18.122,LRP025,500,26.567,8.445,0.0,28.0,71.0,5.0,12.0,484.0,276.0,627.0,4122.0,1420.0,674.0,4568.0,65.0,7045.0,5307.0,12352.0,12352.0
812,N710-1,Ferryghat-Dakbangla More,LRPS,0,0,LRP001,25,0.4,0.400,0.0,28.0,71.0,5.0,12.0,484.0,276.0,627.0,4122.0,1420.0,674.0,4568.0,65.0,7045.0,5307.0,12352.0,12352.0
816,N711-1,Benapole East-Benapole West,LRPS,0,0,LRP003,730,3.58,3.580,89.0,2180.0,357.0,289.0,144.0,228.0,45.0,315.0,2778.0,2795.0,3072.0,1878.0,0.0,9220.0,4950.0,14170.0,14170.0
820,N712-1,Jhenaidaha bus terminal-Arappur (Int with N704),LRPS,0,0,LRP002,190,2.19,2.190,214.0,1977.0,589.0,332.0,39.0,390.0,34.0,183.0,2273.0,1512.0,864.0,173.0,0.0,7543.0,1037.0,8580.0,8580.0
821,N712-2,Arappur (Int with N704) - Int with R745,LRP002,190,2.19,LRP002,1530,3.53,1.340,214.0,1977.0,589.0,332.0,39.0,390.0,34.0,183.0,2273.0,1512.0,864.0,173.0,0.0,7543.0,1037.0,8580.0,8580.0
822,N712-3,Int with R745-Int with N703,LRP002,1530,3.53,LRP002,3150,5.15,1.620,214.0,1977.0,589.0,332.0,39.0,390.0,34.0,183.0,2273.0,1512.0,864.0,173.0,0.0,7543.0,1037.0,8580.0,8580.0
823,N712-4,Int with N703-Alhera bus Stand,LRP002,3150,5.15,LRPE,0,6.15,1.000,214.0,1977.0,589.0,332.0,39.0,390.0,34.0,183.0,2273.0,1512.0,864.0,173.0,0.0,7543.0,1037.0,8580.0,8580.0
827,N713-1,Bottoli- Intersection with R745,LRPS,0,0,LRPS,6600,6.6,6.600,89.0,2180.0,357.0,289.0,144.0,228.0,45.0,315.0,2778.0,2795.0,3072.0,1878.0,0.0,9220.0,4950.0,14170.0,14170.0
831,N715-1,Alipur(Int.with Z7602)-Bhomra,LRPS,0,0,LRP003,6200,9.225,9.225,89.0,2180.0,357.0,289.0,144.0,228.0,45.0,315.0,2778.0,2795.0,3072.0,1878.0,0.0,9220.0,4950.0,14170.0,14170.0
835,N801-1,Barisal University(Int.with N8)-Int.with N809,LRPS,0,0,LRP006,19,4.825,4.825,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,*  NS
839,N802-1,Start of 2nd Buriganga Bridge-Kadamtoli (Int.with R820),LRPS,0,0,LRPS,1480,1.48,1.480,0.0,236.0,1872.0,0.0,157.0,75.0,6.0,52.0,1754.0,1275.0,1543.0,1368.0,0.0,5427.0,2911.0,8338.0,8338.0
840,N802-2,Kadamtoli (Int.with R820)-Int.with N8,LRPS,1480,1.48,LRPE,0,4.552,3.072,0.0,236.0,1872.0,0.0,157.0,75.0,6.0,52.0,1754.0,1275.0,1543.0,1368.0,0.0,5427.0,2911.0,8338.0,8338.0
844,N803-1L,"Alipur-Tapakhola, int.with Z8402 (Left)",LRPS,0,0,LRPS,2450,2.45,2.450,0.0,236.0,1872.0,0.0,157.0,75.0,6.0,52.0,1754.0,1275.0,1543.0,1368.0,0.0,5427.0,2911.0,8338.0,8338.0
845,N803-1R,"Alipur-Tapakhola, int.with Z8402 (Right)",LRPS,0,0,LRPS,2450,2.45,2.450,0.0,236.0,1872.0,0.0,157.0,75.0,6.0,52.0,1754.0,1275.0,1543.0,1368.0,0.0,5427.0,2911.0,8338.0,8338.0
846,N803-2,"Tapakhola, int.with Z8402- (Int.with Z7108)",LRPS,2450,2.45,LRPS,4550,4.55,2.100,0.0,236.0,1872.0,0.0,157.0,75.0,6.0,52.0,1754.0,1275.0,1543.0,1368.0,0.0,5427.0,2911.0,8338.0,8338.0
847,N803-3,(Int.with Z7108)-SS Ghat,LRPS,4550,4.55,LRPE,0,6.13,1.580,0.0,236.0,1872.0,0.0,157.0,75.0,6.0,52.0,1754.0,1275.0,1543.0,1368.0,0.0,5427.0,2911.0,8338.0,8338.0
851,N804-1,Bhanga-Pukuria (Int. with Z8401),LRPS,0,0,LRP006,826,5.826,5.826,81.0,672.0,769.0,365.0,441.0,136.0,58.0,119.0,1030.0,684.0,382.0,367.0,0.0,4355.0,749.0,5104.0,5104.0
852,N804-2,Pukuria(Int. with Z8401)-Talma (Int. with Z8404),LRP006,826,5.826,LRP017,897,16.797,10.971,81.0,672.0,769.0,365.0,441.0,136.0,58.0,119.0,1030.0,684.0,382.0,367.0,0.0,4355.0,749.0,5104.0,5104.0
853,N804-3,Talma (Int. with Z8404) -Munshipara (Int. with N808),LRP017,897,16.797,LRP026,270,25.348,8.551,133.0,855.0,464.0,423.0,379.0,366.0,84.0,217.0,2244.0,1759.0,277.0,491.0,0.0,6924.0,768.0,7692.0,7692.0
854,N804-4,Munshipara (Int. with N808) -Faridpur (Alipur) Int. with N803,LRP026,270,25.348,LRP026,4682,29.76,4.412,133.0,855.0,464.0,423.0,379.0,366.0,84.0,217.0,2244.0,1759.0,277.0,491.0,0.0,6924.0,768.0,7692.0,7692.0
855,N804-5,Faridpur (Alipur) Int. with N803-Faridpur (Goalchamot) Int. with N7,LRP026,4682,29.76,LRPE,0,32.063,2.303,0.0,68.0,133.0,20.0,84.0,25.0,47.0,81.0,1154.0,1032.0,516.0,1025.0,9.0,2644.0,1550.0,4194.0,4194.0
859,N805-1,Bhanga-Kalier More (Int.with Z8067),LRPS,0,0,LRP005,360,5.02,5.020,50.0,598.0,450.0,472.0,201.0,555.0,18.0,132.0,571.0,591.0,114.0,152.0,0.0,3638.0,266.0,3904.0,3904.0
860,N805-2,Kalier More (Int.with Z8067)-Muksudpur(Int.with Z8021),LRP005,360,5.02,LRP018,405,18.215,13.195,50.0,598.0,450.0,472.0,201.0,555.0,18.0,132.0,571.0,591.0,114.0,152.0,0.0,3638.0,266.0,3904.0,3904.0
861,N805-3,Muksudpur(Int.with Z8021)-Garakhola (Int.with Z8023),LRP018,405,18.215,LRP024,750,24.59,6.375,50.0,598.0,450.0,472.0,201.0,555.0,18.0,132.0,571.0,591.0,114.0,152.0,0.0,3638.0,266.0,3904.0,3904.0
862,N805-4,Garakhola(Int.with Z8023)-Bhatiapara (Int.with Z7001),LRP024,750,24.59,LRP037,135,37.005,12.415,50.0,598.0,450.0,472.0,201.0,555.0,18.0,132.0,571.0,591.0,114.0,152.0,0.0,3638.0,266.0,3904.0,3904.0
863,N805-5,Bhatiapara (Int.with Z7001)-Bhatiapara (Trimohoni)Int.with N806,LRP037,135,37.005,LRP037,940,37.81,0.805,33.0,759.0,533.0,172.0,124.0,224.0,119.0,191.0,960.0,615.0,471.0,584.0,0.0,3730.0,1055.0,4785.0,4785.0
864,N805-6,Bhatiapara (Trimohoni)Int.with N806 - Ramdia (Int.with Z8419),LRP037,940,37.81,LRP049,275,49.215,11.405,33.0,759.0,533.0,172.0,124.0,224.0,119.0,191.0,960.0,615.0,471.0,584.0,0.0,3730.0,1055.0,4785.0,4785.0
865,N805-7,Ramdia (Int.with Z8419)-Bijoypasha(Int.with Z8420),LRP049,275,49.215,LRP060,365,60.305,11.090,33.0,759.0,533.0,172.0,124.0,224.0,119.0,191.0,960.0,615.0,471.0,584.0,0.0,3730.0,1055.0,4785.0,4785.0
866,N805-8,Bijoypasha(Int.with Z8420)-Gopalganj (Haridashpur Bridge)Int.with R850,LRP060,365,60.305,LRP067,360,67.28,6.975,33.0,759.0,533.0,172.0,124.0,224.0,119.0,191.0,960.0,615.0,471.0,584.0,0.0,3730.0,1055.0,4785.0,4785.0
867,N805-9,Gopalganj (Haridashpur Bridge)Int.with R850-Int.with R850,LRP067,360,67.28,LRP068,70,67.95,0.670,33.0,759.0,533.0,172.0,124.0,224.0,119.0,191.0,960.0,615.0,471.0,584.0,0.0,3730.0,1055.0,4785.0,4785.0
868,N805-10,Gopalganj (Int.with R850)-Int.with Z8031,LRP068,70,67.95,LRP069,766,69.706,1.756,29.0,376.0,356.0,344.0,235.0,216.0,87.0,159.0,1029.0,1328.0,594.0,563.0,0.0,4159.0,1157.0,5316.0,5316.0
869,N805-11,Int.with Z8031-Int.with Z8408,LRP069,766,69.706,LRP071,1945,72.885,3.179,29.0,376.0,356.0,344.0,235.0,216.0,87.0,159.0,1029.0,1328.0,594.0,563.0,0.0,4159.0,1157.0,5316.0,5316.0
870,N805-12,Int.with Z8408-Gonapara(Int.with Z7704),LRP071,1945,72.885,LRP077,275,77.225,4.340,29.0,376.0,356.0,344.0,235.0,216.0,87.0,159.0,1029.0,1328.0,594.0,563.0,0.0,4159.0,1157.0,5316.0,5316.0
871,N805-13,Gonapara(Int.with Z7704)-End of Mollahat Bridge,LRP077,275,77.225,LRP079,1112,80.062,2.837,29.0,376.0,356.0,344.0,235.0,216.0,87.0,159.0,1029.0,1328.0,594.0,563.0,0.0,4159.0,1157.0,5316.0,5316.0
872,N805-14,End of Mollahat Bridge-Faltita(Int.with Z7801),LRP079,1112,80.062,LRP096,1030,97.023,16.961,44.0,624.0,541.0,530.0,322.0,311.0,176.0,225.0,920.0,1217.0,463.0,473.0,0.0,4910.0,936.0,5846.0,5846.0
873,N805-15,Faltita(Int.with Z7801)-Fakirhat (Int.with R771),LRP096,1030,97.023,LRP099,530,100.523,3.500,44.0,624.0,541.0,530.0,322.0,311.0,176.0,225.0,920.0,1217.0,463.0,473.0,0.0,4910.0,936.0,5846.0,5846.0
874,N805-16,Fakirhat (Int.with R771)- Noapara (Int.with R770),LRP099,530,100.523,LRP107,1040,109.053,8.530,97.0,576.0,472.0,124.0,129.0,235.0,116.0,192.0,1201.0,856.0,558.0,683.0,0.0,3998.0,1241.0,5239.0,5239.0
875,N805-17,Noapara (Int.with R770)-Katakhali Traffic More,LRP107,1040,109.053,LRP109,990,110.633,1.580,44.0,624.0,541.0,530.0,322.0,311.0,176.0,225.0,920.0,1217.0,463.0,473.0,0.0,4910.0,936.0,5846.0,5846.0
